id,family,name,direction,status,hc_reduced,final_hc,net_savings,total_invest,total_savings,payback_mo,final_prof,final_trust,final_ready,avg_damp,prod_valley,final_eff_adopt_pct,final_raw_adopt_pct,final_hmult,final_fatigue,months_simulated
SC-1.1,technology_injection,Copilot → Claims Processing,forward,OK,3,537,-1906950.0,2203200.0,296250.0,0,27.878642758768347,36.520673594074125,47.89681558871423,0.07238817192028353,100.13671504974589,4.84007572716178,59.99593655102282,0.13352982110803707,0.0016728663065929464,37
SC-1.2,technology_injection,Copilot → All Functions,forward,OK,21,1349,-3406600.0000000005,5589600.0,2182999.9999999995,0,38.98714220934853,48.967365523211974,57.82846293530223,0.15831936628160767,100.1007192141969,10.786608817679962,59.99593655102282,0.22545665082066682,0.0046415420632061714,37
SC-1.5,technology_injection,Adoption Gap Only (Free Money),forward,OK,16,1354,-12649366.666666668,14467200.0,1817833.3333333323,0,38.112712007124294,48.50321822495214,57.85938731719963,0.15704883773757328,100.11682741533951,8.778517958006917,49.99661379251902,0.22051781657290895,0.0035278316829611177,37
SC-5.2,output_target,"Maintain Output, -20% Claims HC",inverse,OK,4,536,-4089600.0,4341600.0,252000.0,0,27.369126174608855,36.24851959239842,46.91543285662238,0.07032478307679907,100.13671504974589,6.866716874470669,89.40842165980372,0.1284034401389288,0.0022336061991634886,25
SC-7.1,function_transformation,Claims Phased Transformation,forward,OK,10,530,-3423350.0,4341600.0,918250.0,0,29.81759158862274,37.56672210302048,47.75002937339461,0.0751262578386118,100.15950089137021,8.801714158578761,100.0,0.14237908742006197,0.005619181206528206,37
SC-10.6,baseline,Do Nothing (Cost of Inaction),forward,OK,0,1370,-5589600.0,5589600.0,0.0,0,33.75,46.25,57.95999999999994,1.0,100.0,0,0.0,0.1956149999999998,0,37
SC-6.1,role_transformation,Redesign Claims Adjuster,forward,OK,3,537,-2609650.0,2786400.0,176750.0,0,26.737054735254386,35.91299982884038,46.936656108024586,0.06965549528038972,100.13671504974589,4.462876749127917,59.85164261060192,0.12549479434500654,0.0016739047066261753,25
SC-8.1,skill_intervention,Claims AI Academy,forward,OK,0,540,-2008800.0,2008800.0,0.0,0,25.0,35.0,46.99999999999996,1.0,100.0,0,0.0,0.1174999999999999,0,25
SC-2.1,headcount_target,Reduce 15% Org-Wide,inverse,OK,41,1329,-8673633.333333334,11014800.0,2341166.6666666665,0,38.08594413480152,48.48815239545818,56.74137505939067,0.15354133137425327,100.1007192141969,15.388612002489758,89.40842165980372,0.2161048840643774,0.009134701548479392,25
SC-2.2,headcount_target,Differentiated Function Targets,inverse,OK,41,1329,-8673633.333333334,11014800.0,2341166.6666666665,0,38.08594413480152,48.48815239545818,56.74137505939067,0.15354133137425327,100.1007192141969,15.388612002489758,89.40842165980372,0.2161048840643774,0.009134701548479392,25
SC-4.1,automation_target,Reach 35% Automation,inverse,OK,58,1312,-7964116.666666667,14467200.0,6503083.333333333,0,42.50899734873868,50.88305644146971,57.59441420449001,0.16710731542712887,100.15040048673849,20.39294032290128,100.0,0.24482808007208232,0.013017112406325066,37
SC-3.1,budget_constraint,$2M Optimized Allocation,optimization,OK,41,1329,-8673633.333333334,11014800.0,2341166.6666666665,0,38.08594413480152,48.48815239545818,56.74137505939067,0.15354133137425327,100.1007192141969,15.388612002489758,89.40842165980372,0.2161048840643774,0.009134701548479392,25
SC-3.2,budget_constraint,Budget Allocation Comparison (3-way),comparison,OK,47,1323,-9493533.333333332,14467200.0,4973666.666666668,0,41.2802492880841,50.20583690371059,57.66455633431366,0.16393756665282544,100.1007192141969,17.635456499164974,89.98364953607324,0.23804072605672366,0.010493365959563567,37
